2026-06-22 15:04:51,422 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 15:04:52,837 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 15:04:53,148 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 15:04:54,332 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 15:04:54,632 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 15:04:54,931 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 15:04:55,230 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 15:04:55,230 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 15:14:49,993 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 15:14:49,993 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 15:14:49,993 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 15:14:49,997 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 15:14:49,997 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 15:14:49,997 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 15:14:51,912 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 15:14:51,912 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 15:14:53,939 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 15:14:53,939 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 15:14:55,835 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 15:14:56,027 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 15:14:56,677 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 15:14:56,850 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 15:14:57,007 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 15:14:57,172 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 15:14:57,172 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 15:14:59,206 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 15:14:59,206 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 15:15:01,252 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 15:15:01,253 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 15:15:04,276 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 15:15:04,452 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 15:15:05,050 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 15:15:05,208 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 15:15:05,360 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 15:15:05,508 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 15:15:05,508 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 15:22:30,032 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 15:22:30,036 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 15:22:30,036 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 15:22:30,036 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 15:22:30,036 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 15:22:30,036 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 15:22:31,885 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 15:22:31,885 | INFO     | app.main:56 | Rate limiter initialized
